Id,Name,LastName,FirstName,Gender,RankName,Department,TotalArticleCount,TotalConfProcCount,TotalGrantCount,TotalPatentCount,TotalCourseCount,Race
1485,"BALAKRISHNAN, HAMSA",BALAKRISHNAN,HAMSA,Male,Professor,Aeronautics and Astronautics,46,63,15,1,2,PCTAPI
2030,"BARRETT, STEVEN R. H",BARRETT,STEVEN,Male,Associate,Aeronautics and Astronautics,87,7,11,1,2,PCTWHITE
2190,"BELOBABA, PETER P",BELOBABA,PETER,Male,Other,Aeronautics and Astronautics,24,2,0,0,2,PCTWHITE
2695,"BINZEL, RICHARD P",BINZEL,RICHARD,Male,Professor,Aeronautics and Astronautics,163,13,23,0,2,PCTWHITE
4030,"CAHOY, KERRI",CAHOY,KERRI,Female,Associate,Aeronautics and Astronautics,47,72,45,8,3,PCTWHITE
16360,"CARLONE, LUCA",CARLONE,LUCA,Male,Assistant,Aeronautics and Astronautics,29,52,7,2,2,PCTWHITE
23990,"CORDERO, ZACHARY C",CORDERO,ZACHARY,Male,Assistant,Aeronautics and Astronautics,21,2,3,0,2,PCTHISPANIC
3740,"CRAWLEY, EDWARD F",CRAWLEY,EDWARD,Male,Professor,Aeronautics and Astronautics,47,67,30,1,5,PCTWHITE
3945,"DARMOFAL, DAVID L",DARMOFAL,DAVID,Male,Professor,Aeronautics and Astronautics,33,52,12,1,7,PCTWHITE
3910,"DE WECK, OLIVIER L",DE WECK,OLIVIER,Male,Professor,Aeronautics and Astronautics,105,155,26,1,5,PCTWHITE
4410,"DRELA, MARK",DRELA,MARK,Male,Professor,Aeronautics and Astronautics,18,34,4,3,7,PCTWHITE
24160,"FAN, CHUCHU",FAN,CHUCHU,Female,Assistant,Aeronautics and Astronautics,6,19,1,2,2,PCTAPI
4370,"GREITZER, EDWARD M",GREITZER,EDWARD,Male,Professor,Aeronautics and Astronautics,15,14,32,2,1,PCTWHITE
16865,"GUERRA GARCIA, CARMEN",GUERRA GARCIA,CARMEN,Female,Assistant,Aeronautics and Astronautics,14,1,0,2,2,PCTWHITE
4385,"HAIMES, ROBERT",HAIMES,ROBERT,Male,Other,Aeronautics and Astronautics,15,43,33,0,0,PCTWHITE
2020,"HANSMAN, ROBERT J",HANSMAN,ROBERT,Male,Professor,Aeronautics and Astronautics,24,71,60,8,7,PCTWHITE
5310,"HARRIS, WESLEY L",HARRIS,WESLEY,Male,Professor,Aeronautics and Astronautics,1,1,6,0,2,PCTWHITE
